Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),loess_fit,loess_upr95,loess_lwr95,loess_upr68,loess_lwr68,loess_se
PACIFIC BOTTOM,4750,-159.6200093,10.45521032,3,-159.6200093,10.45521032,3,-153.6210215,-113.8034514,-191.9608389,-143.2318405,-164.1842724,6.036318491
PACIFIC BOTTOM,5250,-135.3949659,35.11286302,2,-135.3949659,35.11286302,2,-143.9204686,-105.4750012,-181.8234115,-132.7851277,-154.8550015,24.82854355
PACIFIC BOTTOM,5750,-129.1719723,66.83042369,5,-129.1719723,66.83042369,5,-136.2936022,-90.24646996,-174.349096,-124.0712529,-148.3968992,29.88747407
PACIFIC BOTTOM,6250,-83.48090376,92.55364287,6,-83.48090376,92.55364287,6,-127.5505101,-80.56975002,-165.6443524,-115.4369864,-139.837621,37.78486648
PACIFIC BOTTOM,6750,-126.0397866,87.31409829,4,-126.0397866,87.31409829,4,-124.0803143,-76.16046857,-161.712495,-111.3929048,-134.0695614,43.65704915
PACIFIC BOTTOM,7250,NA,NA,0,NA,NA,0,-122.4260198,-72.0583119,-159.6477113,-110.2599971,-132.6102418,NA
PACIFIC BOTTOM,7750,NA,NA,0,NA,NA,0,-121.8241749,-78.81539942,-163.9184377,-110.0582763,-132.5157034,NA
PACIFIC BOTTOM,8250,-148.6634098,18.91973149,3,-148.6634098,18.91973149,3,-121.640977,-77.66437582,-167.8606251,-111.2852238,-133.3316514,10.92331207
PACIFIC BOTTOM,8750,NA,NA,0,NA,NA,0,-119.4636768,-80.19838531,-173.176059,-107.3242681,-132.3983496,NA
PACIFIC BOTTOM,9250,NA,NA,0,NA,NA,0,-119.0612629,-77.95046838,-178.6113543,-106.7639731,-132.3982524,NA
PACIFIC BOTTOM,9750,-143.1739975,64.11651411,8,-143.1739975,64.11651411,8,-113.3388213,-72.45050135,-161.3664071,-100.6270901,-126.4754224,22.66861096
PACIFIC BOTTOM,10250,-55.42653065,75.74417473,4,-55.42653065,75.74417473,4,-105.8160969,-63.27739844,-151.6876162,-93.49966492,-117.2647875,37.87208736
PACIFIC BOTTOM,10750,-98.96077113,95.56010349,7,-98.96077113,95.56010349,7,-97.59246728,-54.50664655,-141.7115885,-85.01852686,-109.9915823,36.11832416
PACIFIC BOTTOM,11250,-98.56836499,20.27196921,4,-98.56836499,20.27196921,4,-91.96748141,-49.67572562,-134.2439326,-80.40359606,-102.9287469,10.1359846
PACIFIC BOTTOM,11750,-124.4784344,37.70231219,6,-124.4784344,37.70231219,6,-86.87723639,-52.23947015,-129.8323261,-76.48563555,-97.04769211,15.3919045
PACIFIC BOTTOM,12250,-108.4583124,22.99681149,3,-108.4583124,22.99681149,3,-77.76270212,-42.38001771,-127.148686,-68.37415528,-90.90958083,13.27721531
PACIFIC BOTTOM,12750,-80.88191845,20.84792569,6,-80.88191845,20.84792569,6,-68.46966419,-37.39229028,-106.9555187,-59.50987829,-78.36436954,8.511130022
PACIFIC BOTTOM,13250,-72.61129605,32.96313772,10,-72.61129605,32.96313772,10,-55.10734755,-23.68228337,-88.99732194,-46.20220516,-63.01746884,10.4238594
PACIFIC BOTTOM,13750,-19.90215073,29.17066908,9,-19.90215073,29.17066908,9,-40.82696966,-0.664861134,-71.44492986,-30.50426988,-51.59195767,9.723556359
PACIFIC BOTTOM,14250,-24.3308705,51.38089528,13,-24.3308705,51.38089528,13,-33.19979943,11.56046423,-65.98788538,-23.86492997,-43.17163113,14.25049635
PACIFIC BOTTOM,14750,-42.85160226,56.74416816,8,-42.85160226,56.74416816,8,-34.63756226,3.833067669,-69.14141728,-24.90592387,-44.11552844,20.06209305
PACIFIC BOTTOM,15250,-49.00586551,60.57115951,7,-49.00586551,60.57115951,7,-39.32830793,0.084565306,-93.9386414,-29.14593351,-51.09262328,22.89374638
PACIFIC BOTTOM,15750,-42.68636564,29.53022658,6,-42.68636564,29.53022658,6,-38.00795895,1.254465793,-86.21396696,-25.40673572,-49.37273447,12.05566452
PACIFIC BOTTOM,16250,-49.12809139,87.8831885,8,-49.12809139,87.8831885,8,-30.77227561,14.46365358,-75.22307957,-20.85599225,-40.83559506,31.07139927
PACIFIC BOTTOM,16750,-15.63737632,83.51181558,6,-15.63737632,83.51181558,6,-24.42368255,22.84266031,-62.88289684,-13.55306927,-34.29574672,34.09355594
PACIFIC BOTTOM,17250,-10.73163725,39.12030578,4,-10.73163725,39.12030578,4,-20.74258496,23.65167309,-56.79976615,-9.5278235,-30.24391469,19.56015289
PACIFIC BOTTOM,17750,-9.087322598,79.71390339,5,-9.087322598,79.71390339,5,-20.23849514,21.108205,-63.80332947,-9.891982897,-32.47614133,35.64914135
PACIFIC BOTTOM,18250,-28.58107054,55.27271515,4,-28.58107054,55.27271515,4,-22.15814846,17.81203215,-67.69142801,-10.68347228,-33.30975578,27.63635757
PACIFIC BOTTOM,18750,-44.8013424,92.40601587,9,-44.8013424,92.40601587,9,-21.35436072,21.78222676,-67.98368662,-9.922815305,-33.23505228,30.80200529
PACIFIC BOTTOM,19250,8.94981234,77.0763118,4,8.94981234,77.0763118,4,-21.32537346,26.29672505,-67.95968094,-9.253249317,-33.07763552,38.5381559
PACIFIC BOTTOM,19750,-72.08374733,NA,1,NA,NA,1,-20.05847012,26.19858577,-76.62682797,-4.916887972,-34.27908747,NA
PACIFIC BOTTOM,20250,-52.67857871,NA,1,NA,NA,1,-15.20225256,33.49709495,-76.66581244,0.443027147,-30.85231814,NA
PACIFIC BOTTOM,20750,-37.84048217,26.32752339,3,-37.84048217,26.32752339,3,-8.735506157,41.10474019,-73.42961104,6.388366443,-27.1619332,15.20020271
PACIFIC BOTTOM,21250,NA,NA,0,NA,NA,0,-1.211519326,51.08753071,-72.35003301,15.65141665,-19.27352003,NA
PACIFIC BOTTOM,21750,NA,NA,0,NA,NA,0,8.662989361,63.23042104,-73.19220172,22.70133004,-9.951175514,NA
PACIFIC BOTTOM,22250,NA,NA,0,NA,NA,0,18.2217431,82.33326205,-59.50650009,35.60051204,-0.459817256,NA
PACIFIC BOTTOM,22750,41.28902319,37.15994321,3,41.28902319,37.15994321,3,28.92064247,92.3330014,-49.96194264,47.69688632,10.14533462,21.45430321
PACIFIC BOTTOM,23250,NA,NA,0,NA,NA,0,39.76080389,110.4317798,-44.65106802,58.70364908,18.98507554,NA
PACIFIC BOTTOM,23750,NA,NA,0,NA,NA,0,54.75952453,126.6436293,-27.03582521,74.35475695,33.73434855,NA
